Time (Sec);S11;S4;S3;S9;S19;S5;S22;S10;S17;S16;S6;S18;S13;S15;S21;S14;S7;S12;S20;S8;S1;
16.10179333333296;93.21182720000142;97.65995680000023;74.38811760000596;97.68253360000023;99.72137599999958;93.65412800000138;86.93761840000303;93.6324632000014;97.70511040000022;94.83841760000097;97.59222640000024;97.72768720000022;97.61480320000024;97.56964960000025;93.48042320000141;97.61480320000024;99.78910639999957;97.56964960000025;99.65364559999959;97.68253360000023;150.0;
16.204575999999616;93.15884000000143;97.64470160000023;74.25234480000599;97.66727840000023;99.72127599999958;93.61639600000139;86.86215440000305;93.5947312000014;97.68985520000022;94.81584080000097;97.57697120000024;97.71243200000022;97.59954800000024;97.55439440000025;93.44269120000142;97.59954800000024;99.78900639999956;97.55439440000025;99.65354559999959;97.66727840000023;150.0;
16.301510666666267;93.12110800000144;97.62944640000023;74.07100640000603;97.65202320000023;99.72117599999957;93.5786640000014;86.78669040000307;93.54174400000142;97.67460000000023;94.79326400000097;97.56171600000025;97.69717680000022;97.58429280000024;97.53913920000025;93.40495920000143;97.58429280000024;99.78890639999956;97.53913920000025;99.65344559999959;97.65202320000023;150.0;
16.401383999999595;93.11378640000144;97.61419120000023;73.93533360000606;97.63676800000023;99.72107599999957;93.5409320000014;86.6734944000031;93.50401200000142;97.65934480000023;94.77078720000098;97.54646080000025;97.68192160000022;97.56903760000024;97.52388400000025;93.38248240000144;97.56903760000024;99.78880639999956;97.52388400000025;99.65334559999958;97.63676800000023;150.0;
16.50138399999958;93.06812080000145;97.59893600000024;73.7691504000061;97.62151280000023;99.72097599999957;93.5256768000014;86.59803040000311;93.48153520000143;97.64408960000023;94.77068720000098;97.53120560000025;97.66666640000022;97.55378240000024;97.52388400000025;93.36722720000144;97.55378240000024;99.78870639999955;97.52388400000025;99.65334559999958;97.62151280000023;150.0;
16.601383999999573;93.03038880000146;97.58368080000024;73.61822240000613;97.60625760000023;99.72087599999956;93.48794480000142;86.52256640000313;93.46628000000143;97.62883440000023;94.74811040000098;97.53120560000025;97.65141120000023;97.53852720000025;97.50862880000025;93.32949520000145;97.55378240000024;99.78860639999955;97.50862880000025;99.65324559999958;97.60625760000023;150.0;
16.70138399999956;92.97740160000147;97.56842560000024;73.42956240000618;97.59100240000024;99.72077599999956;93.43495760000143;86.40937040000316;93.41329280000144;97.61357920000023;94.72543360000098;97.51595040000025;97.63615600000023;97.52327200000025;97.49337360000025;93.27650800000146;97.53852720000025;99.78850639999955;97.49337360000025;99.65314559999958;97.59100240000024;150.0;
16.801383999999548;92.93966960000148;97.55317040000024;73.27863440000621;97.57574720000024;99.72077599999956;93.39722560000143;86.33390640000317;93.37556080000145;97.59832400000023;94.70285680000099;97.50069520000025;97.62090080000023;97.50801680000025;97.47811840000026;93.23877600000147;97.52327200000025;99.78840639999954;97.47811840000026;99.65304559999957;97.57574720000024;150.0;
16.902626666666194;92.88668240000149;97.53791520000024;73.13564000000625;97.57574720000024;99.72067599999956;93.35949360000144;86.25844240000319;93.33782880000146;97.58306880000023;94.68018000000099;97.48544000000025;97.60564560000023;97.50801680000025;97.46286320000026;93.18578880000148;97.50801680000025;99.78840639999954;97.46286320000026;99.65294559999957;97.57574720000024;150.0;
17.002626666666192;92.8489504000015;97.53791520000024;72.95430160000629;97.56049200000024;99.72057599999955;93.30650640000145;86.2286440000032;93.28484160000147;97.58306880000023;94.65760320000099;97.47018480000025;97.60564560000023;97.49276160000025;97.44760800000026;93.14805680000148;97.49276160000025;99.78830639999954;97.44760800000026;99.65284559999957;97.56049200000024;150.0;
